Anneal Time,Temperature,PbI2_vol,BAAc_vol,MAI_vol,R PbI2,R BAAc,R MAI,QW 1,QW 2,QW 3,QW 4,QW 5,QW 6,QW 7,QW 8,QW 9,QW 10,QW 11,QW 12,QW 99,files
5.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.14940674764541165,0.22044374089408625,0.3269430178336376,0.29035733592168683,0.25338043124633747,0.0,0.0,0.1802781562223502,0.17351348867135996,0.1498072333401789,0.1496595865064775,0.14561803954222266,N1R0 105C sample 11_Subt2__0__12-51-45-702.csv
5.0,105.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.20682849639434728,0.2819241743340348,0.40014486605538674,0.33323305107339823,0.31808209401615617,0.0,0.0,0.0,0.0,0.0,0.24133229327786634,0.24472851676605012,N1R0 105C sample 12_Subt2__0__12-52-09-188.csv
60.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325,0.13570736586000817,0.05799516807906737,0.3108948783048144,0.12167657471930317,0.05762129999667918,0.09422086267694359,0.07757354855289712,0.10152092221050713,0.0839622870846088,0.10634502770840139,0.10626227469364778,0.10204867382118765,0.11716836043916569,N1R0 150C sample 3_Subt2__0__14-47-02-040.csv
60.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325,0.18626845790604776,0.0,0.32832166770515014,0.0,0.0,0.2556888028073184,0.0,0.18906889635948684,0.18913795428354788,0.20209795548270082,0.2020514582949677,0.2489974085905995,0.2917515174157547,N1R0 150C sample 4_Subt2__0__14-47-25-046.csv
30.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.0,0.2651622300659021,0.24506150030835183,0.0,0.2579338655787181,0.0,0.25614275884605664,0.2562767771437346,0.24808840933492649,0.2981931622041418,0.29799296607312636,0.3268529428870905,N1R0 150C sample 7_Subt2__0__14-23-09-578.csv
30.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.0,0.09139177325094233,0.10389717071308918,0.13976716160012395,0.17501938632147074,0.18395549850584467,0.0,0.27476736833962817,0.1654660267881954,0.20202411676729184,0.2115136240755994,0.23633925081363583,N1R0 150C sample 8_Subt2__0__14-22-37-580.csv
5.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.0,0.5649503344128247,0.0,0.0,0.27652323814129726,0.2567298312156327,0.25712848950654865,0.25712848950654865,0.2660291319549331,0.26570119320507135,0.264859331205047,0.26450171935450456,N1R0 150C sample 11_Subt2__0__13-57-07-113.csv
5.0,150.0,100.0,67.5,132.5,1.0,0.675,1.325,0.0,0.25015368138393074,0.4069891972244875,0.3749408553736695,0.0,0.0,0.274908810567899,0.2260092307064018,0.22684865203568552,0.22578976042856858,0.225580459981922,0.22929268566558747,0.24405001607877586,N1R0 150C sample 12_Subt2__0__13-58-18-612.csv
5.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5,0.0,0.3915526385419569,0.3345566709507382,0.2620094121434793,0.2099395071502542,0.0,0.2056750002403225,0.2001850637675407,0.0,0.1988717585191081,0.1987363078061744,0.2024662339701566,0.2002022921742973,N2 R0 150C sample1_Subt2__0
5.0,60.0,85.7,85.7,128.6,1.0,1.0,1.5,0.0,0.4417654817549936,0.341128839429392,0.0,0.2645313165534336,0.2500345883908084,0.0,0.0,0.2339250417877212,0.2262870768059638,0.22600522574477,0.2257664302574124,0.0,N2 R0 60C sample2_Subt2__0
