Anneal Time,Temperature,R BAAc,R MAI,QW 1,QW 2,QW 3,QW 4,QW 5,QW 6,QW 7,QW 8,QW 9,QW 10,QW 11,QW 12,QW 99,source,QW 1_std,QW 2_std,QW 3_std,QW 4_std,QW 5_std,QW 6_std,QW 7_std,QW 8_std,QW 9_std,QW 10_std,QW 11_std,QW 12_std,QW 99_std
60.0,150.0,2.45,2.5,0.49432245365066,0.4520554966198135,0.0,0.3075162835768581,0.3079039020847858,0.3081622293185318,0.3082468130935608,0.3082074714655972,0.3081124238771277,0.3079651335724747,0.3078210029205201,0.3076914900234662,0.3097883123542733,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,150.0,2.38,2.5,0.4511164824632945,0.0,0.2736118248537605,0.2107257948457102,0.2123916184145624,0.2283149933807754,0.2273698920814018,0.1973388753082726,0.1972512647335674,0.1971524719503261,0.1970486818461748,0.1990202346059097,0.1992563417126388,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,150.0,2.38,2.5,0.381504827559472,0.12050362807164,0.097229295801758,0.1127614307215308,0.1028639108065251,0.0,0.1133377593312511,0.0915027365242411,0.0925141832157244,0.0855020603170139,0.0950473156293411,0.1070384846622795,0.0896743907777271,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,150.0,2.17,2.5,0.3573793124341846,0.1446710725591961,0.1067113938658188,0.0929454033177838,0.0892135027014549,0.098265873557975,0.0961310464020763,0.0981425161463123,0.1073185637215245,0.0961236490353224,0.0960256433862894,0.0970079771671393,0.0894326456746328,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,150.0,2.17,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,2.05,1.5,0.6493969940687344,0.3541222742587216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,2.05,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,1.9,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,1.9,1.4,0.6411105253397349,0.35789911924794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,2.48,1.3,0.6377313767022347,0.3654732006896425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,150.0,2.48,1.3,0.6374265331603026,0.366677963087705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,60.0,0.5,1.25,0.0,0.0,0.4508767657817158,0.0,0.2901015250335625,0.2573770424663738,0.2571216026690944,0.2937384016734472,0.2931168564594391,0.0,0.0,0.0,0.3952527921792574,N2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
